Rut;Curso;Asignaturas;Unidades
21322431-6;Primero;Matematicas,Lenguaje,Biologia,Ed.Fisica;NumerosNaturales,Tablas Letras,Palabras Animales,Celulas Lagartijas,VidaSaludable
19321324-k;Segundo;Matematicas,Lenguaje,Biologia,Ed.Fisica,Ciencias;Derivadas,Limites Verbos,Sustantivos MedioAmbiente,Salud Saltar,Agacharse Atomos
33243123-6;Tercero;Matematicas,Lenguaje,Biologia,Ed.Fisica,Tecnologia;Potencias,Numeros Ensayos,Debate Celulas,Animales Correr,Saltar Maquetas,Robots
10023123-1;Tercero;Matematicas,Lenguaje,Biologia,Ed.Fisica,Tecnologia;Potencias,Numeros Ensayos,Debate Celulas,Animales Correr,Saltar Maquetas,Robots
32124222-1;Primero;Matematicas,Lenguaje,Biologia,Ed.Fisica;NumerosNaturales,Tablas Letras,Palabras Animales,Celulas Lagartijas,VidaSaludable
11241424-k;Segundo;Matematicas,Lenguaje,Biologia,Ed.Fisica,Ciencias;Derivadas,Limites Verbos,Sustantivos MedioAmbiente,Salud Saltar,Agacharse Atomos
10000232-0;Tercero;Matematicas,Lenguaje,Biologia,Ed.Fisica,Tecnologia;Potencias,Numeros Ensayos,Debate Celulas,Animales Correr,Saltar Maquetas,Robots
31231223-6;Tercero;Matematicas,Lenguaje,Biologia,Ed.Fisica,Tecnologia;Potencias,Numeros Ensayos,Debate Celulas,Animales Correr,Saltar Maquetas,Robots
12323123-1;Tercero;Matematicas,Lenguaje,Biologia,Ed.Fisica,Tecnologia;Potencias,Numeros Ensayos,Debate Celulas,Animales Correr,Saltar Maquetas,Robots
20142252-1;Segundo;Matematicas,Lenguaje,Biologia,Ed.Fisica,Ciencias;Derivadas,Limites Verbos,Sustantivos MedioAmbiente,Salud Saltar,Agacharse Atomos
12123412-0;Primero;Matematicas,Lenguaje,Biologia,Ed.Fisica;NumerosNaturales,Tablas Letras,Palabras Animales,Celulas Lagartijas,VidaSaludable
